Comment_Period,Method,EG_1,EG_DEC,Subcommittee,Component_Description,Episode_Theme_Description,Comment_No,Commenter_1_Organization,Comment_Excerpt,Comment_Excerpt_Summary,EG_TYPE
2016_04_supplemental_egs,A,Acute Myocardial Infarction (AMI) without PCI/CABG,"Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Assigning Costs to the EG,Addition of assigned services,4,American College of Radiology,"Conditions, diagnoses that should be included or removed (trigger codes or relevant diagnosis tabs): Add Upper extremity or neck pain",Upper extremity or neck pain should be added as assigned services for this episode group.,Acute Inpatient Medical Condition
2016_04_supplemental_egs,A,Acute Myocardial Infarction (AMI) without PCI/CABG,"Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Assigning Costs to the EG,Addition of assigned services,23,Phillips Healthcare,"Clinically relevant volcano technologies fractional flow reserve (CPT 93571 and 93572) , coronaru intravascular ultrasound (CPT 37252 and 37253) not included","Volcano technologies fractional flow reserve (CPT 93571 and 93572) , and coronary intravascular ultrasound (CPT 37252 and 37253) should be included as clinically relevant services in the Acute Myocardial Infarction (AMI) episode group.",Acute Inpatient Medical Condition
2016_04_supplemental_egs,A,Acute Myocardial Infarction (AMI) without PCI/CABG,"Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Assigning Costs to the EG,Addition of assigned services,4,American College of Radiology,"Suggested removal/addition of dx or services: 
Add cardiac CT and MRI with stress testing
Add coronary CTA","Cardiac CT, MRI with stress testing, and coronary CTA should be added as relevant diagnoses or services.",Acute Inpatient Medical Condition
2016_12_macra_posting,,"Acute Myocardial Infarction, Expired","Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Defining an EG,Justification for/against creating the episode group,68,American College of Cardiology,"The ACC recommends removing the Acute Myocardial Infarction, Expired from the list of episode groups. While there may be opportunity for savings, in practice, this episode group may be complicated to implement due to varying times of death during the patient’s course and factors outside of the clinician’s control such as the desires of patients and their families. CMS excludes this under the Advancing Care Coordination for Episode Payment Models, recognizing that there is a limited ability for hospitals and clinicians to seek cost efficiencies for a patient whose outcome is death from AMI. Moving forward, CMS should ensure alignment of the AMI episode group (which ACC is recommending splitting into STEMI and NSTEMI as stated above) with the episode payment model for AMI to minimize burden on clinicians.","This episode group should be removed from the list of episode groups for development.  While there may be opportunity for savings, in practice, this episode group may be complicated to implement due to varying times of death during the patient’s course and factors outside of the clinician’s control such as the desires of patients and their families.  This is excluded under the Advancing Care Coordination for Episode Payment Models, since there is a limited ability for hospitals and clinicians to seek cost efficiencies for a patient whose outcome is death from AMI.",Acute Inpatient Medical Condition
2016_12_macra_posting,,"Acute Myocardial Infarction, Expired","Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Attributing the EG,Additional clinical input needed,25,American Academy of Otolaryngology - Head and Neck Surgery,"Under the list of Acute Inpatient Medical Condition Episode Groups, there are several episode groups that Otolaryngologist Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Acute Ischemic Stroke With Use of Thrombolytic Agent; Acute Myocardial Infarction, Discharge Alive; Acute Myocardial Infarction, Expired; Allergic Reactions; Cardiac Arrhythmia & Conduction Disorders; COPD; Endocrine Disorders; Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders; Peripheral Vascular Disorders’ Pulmonary Edema & Respiratory Failure;
Pulmonary Embolism; Respiratory System With Ventilator Support < 96 Hours; Respiratory System With Ventilator Support > 96 Hours; and Simple Pneumonia & Pleurisy. The Academy once again calls on CMS to ensure correct episode attribution methodology and develop clear guidance for clinicians so they understand episode group applicability.",Otolaryngologist Head and Neck Surgeons might indirectly treat patients in this episode group. It's important to develop clear episode attribution methodology and clear guidance for clinicians so they understand the applicability of episode groups.,Acute Inpatient Medical Condition
2016_12_macra_posting,,"Acute Myocardial Infarction, Expired","Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Other,Provider education,68,American College of Cardiology,"Moving forward, Alignment with the AMI episode group should be maintained with the episode payment model for AMI to minimize burden on clinicians.","To minimize burden on clinicians, this episode group should be aligned with the episode payment model for AMI.",Acute Inpatient Medical Condition
2016_12_macra_posting,,"Acute Myocardial Infarction, Expired","Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Assigning Costs to the EG,Considerations relevant for particular patient populations,39,American Society for Blood and Marrow Transplantation,"Acute Myocardial Infarction: The presence or absence of heart failure determines resource consumption and length of stay. The location of myocardial infarction determines both resource consumption and length of stay, with an inferior wall MI requiring less monitoring than an anterior wall MI. Patients on coronary angiography having left main disease or severe triple vessel disease will likely have an emergency CABG surgery.","The presence or absence of heart failure determines resource consumption and length of stay for this episode group. The location of myocardial infarction determines both resource consumption and length of stay, with an inferior wall MI requiring less monitoring than an anterior wall MI. Patients undergoing coronary angiography having left main disease or severe triple vessel disease will likely have an emergency CABG surgery.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,A,AMI without PCI/CABG,"Acute Myocardial Infarction, Expired",Cardiovascular Disease Management,Assigning Costs to the EG,Addition of assigned services,15,American College of Radiology,"· Have concerns regarding medications. 
· Concerned that only some drugs that are used routinely are listed. 
· Conscious sedation drugs are not listed. e.g.. fentanyl, versed 
· Local anesthetics for conscious sedation not listed. 
· Foley catheter not listed. 
· MRI contrast agent should be listed","The following drugs should be included in the AMI without PCI/CABG episode group as assigned services: conscious sedation drugs (e.g.. fentanyl, versed), local anesthetics for conscious sedation, foley catheter, and MRI contrast agents.",Acute Inpatient Medical Condition
2016_12_macra_posting,,Allergic Reactions,Allergic Reactions,Pulmonary Disease Management,Defining an EG,Additional clinical input needed,47,Society of Hospital Medicine,"Trigger DRGs and Development of Sub-Groups 
In framing the Acute Inpatient Medical Condition Episode Groups, CMS identified Diagnosis Related Groups (DRGs) relevant to the groups. We are concerned that an individual DRG contains heterogeneous ICD-10 condition diagnoses that may have very different treatment courses and therefore costs. DRGs are designed to separate patients into groups that are supposed to have different costs due to their underlying medical conditions. The Major Complication or Comorbidity (MCC) and Complication or Comorbidity (CC) designations allow hospitals to identify patients who have the potential need for more medical care and thereby higher medical costs. For example, the Allergic Reactions episode and its associated DRGs (915 and 916) could range from allergic dermatitis (L23.7 or L23.9) to anaphylaxis (T78 or T80) as identified by ICD-10 coding. The COPD episode and its associated DRGs (190, 191, and 192) is another example of differential in costs (2014 averages for each DRG nationally are $7,088.08, $5,672.03, and $4,200.94, respectively) further marked by variances due to specific clinical circumstances as denoted by ICD-10 coding. This is a wide diversity of potential diagnoses with radically different expected costs. It is not clear to SHM that these differences would be accounted for in broad episode measures.","An individual DRG contains heterogeneous ICD-10 condition diagnoses. For example, the Allergic Reactions episode group has associated DRGs (915 and 916) that range from allergic dermatitis (L23.7 or L23.9) to anaphylaxis (T78 or T80) and these may have very different treatment courses and therefore different costs. There is a wide diversity of potential diagnoses with radically different expected costs, so it is not clear that these differences would be accounted for in broad episode measures.",Acute Inpatient Medical Condition
2016_12_macra_posting,,Allergic Reactions,Allergic Reactions,Pulmonary Disease Management,Attributing the EG,Considerations relevant for particular patient populations,25,American Academy of Otolaryngology - Head and Neck Surgery,"Under the list of Acute Inpatient Medical Condition Episode Groups, there are several episode groups that Otolaryngologist Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Acute Ischemic Stroke With Use of Thrombolytic Agent; Acute Myocardial Infarction, Discharge Alive; Acute Myocardial Infarction, Expired; Allergic Reactions; Cardiac Arrhythmia & Conduction Disorders; COPD; Endocrine Disorders; Esophagitis, Gastroenteritis & Miscellaneous Digestive Disorders; Peripheral Vascular Disorders’ Pulmonary Edema & Respiratory Failure;
Pulmonary Embolism; Respiratory System With Ventilator Support < 96 Hours; Respiratory System With Ventilator Support > 96 Hours; and Simple Pneumonia & Pleurisy. The Academy once again calls on CMS to ensure correct episode attribution methodology and develop clear guidance for clinicians so they understand episode group applicability.",Otolaryngologist Head and Neck Surgeons indirectly treat patients in the Allergic Reactions episode group. There needs to be clear attribution methodology and clear guidance for clinicians so they understand episode group applicability.,Acute Inpatient Medical Condition
